Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
CORVUS PHARMACEUTICALS INC,CRVS,221015100,BYP80F1,0.456907,-,2367108.000,USD,,,,
PALVELLA THERAPEUTICS INC,PVLA,697947109,BTCG280,0.451229,-,306682.000,USD,,,,
TAYSHA GENE THERAPIES INC,TSHA,877619106,BNC1BX1,0.441661,-,6305217.000,USD,,,,
CAREDX INC,CDNA,14167L103,BP3YM74,0.386438,-,1655319.000,USD,,,,
IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,BF0DMK7,0.379253,-,9101816.000,USD,,,,
UNIQURE NV,QURE,N90064101,BJFSR88,0.372960,-,1897877.000,USD,,,,
MANNKIND CORP,MNKD,56400P706,BF081J4,0.371737,-,12225689.000,USD,,,,
VIR BIOTECHNOLOGY INC,VIR,92764N102,BK4PZ38,0.344721,-,2826445.000,USD,,,,
ANAPTYSBIO INC,ANAB,032724106,BDRW1L7,0.334199,-,572675.000,USD,,,,
INHIBRX BIOSCIENCES INC,INBX,45720N103,BNSP8K3,0.313894,-,331506.000,USD,,,,
GERON CORP,GERN,374163103,2370381,0.313805,-,18576725.000,USD,,,,
SANA BIOTECHNOLOGY INC,SANA,799566104,BMFJJ97,0.309841,-,7435983.000,USD,,,,
TYRA BIOSCIENCES INC,TYRA,90240B106,BMVNDH9,0.302869,-,733007.000,USD,,,,
PRECIGEN INC,PGEN,74017N105,BKM5C84,0.300928,-,6713993.000,USD,,,,
KURA ONCOLOGY INC,KURA,50127T109,BYZD465,0.300887,-,2821330.000,USD,,,,
DAY ONE BIOPHARMACEUTICALS I,DAWN,23954D109,BLB0YH0,0.300458,-,1241505.000,USD,,,,
ANNEXON INC,ANNX,03589W102,BMVV9R5,0.298482,-,4274918.000,USD,,,,
SELLAS LIFE SCIENCES GROUP I,SLS,81642T209,BG0WPH9,0.297046,-,5243935.000,USD,,,,
ORIC PHARMACEUTICALS INC,ORIC,68622P109,BKVDFF7,0.290668,-,2428087.000,USD,,,,
RIGEL PHARMACEUTICALS INC,RIGL,766559702,BQD3J33,0.288137,-,792376.000,USD,,,,
JANUX THERAPEUTICS INC,JANX,47103J105,BMFX8Y7,0.277320,-,1592840.000,USD,,,,
