ticker,weight
CTSH,0.00089283852205
MAS,0.00034607934697999997
EBAY,0.00065051519486
WEC,0.00074689631748
EOG,0.00180354628528
MMM,0.0014844568959900002
NKE,0.00365915403862
A,0.00095510000546
MU,0.00185100299543
REG,0.0002557075932
WMB,0.0010633402613499999
SNAP,0.00041203254004
C,0.00241173722202
WBA,0.00054871328168
OMCM,0.00052045173624
PROV,0.00136269906585
CZR,0.00028980589946
GD,0.00130122072166
XEL,0.00091302182743
DVA,0.00014963390927
MOS,0.00031954984488
CMCSA,0.0046503506499800005
QRVO,0.00027386796382
CE,0.00030877006124999996
PPG,0.00093215901065
ATO,0.00044770275747000004
MAR,0.00127452819476
MCO,0.0014671325210399999
FOXA,0.00024614098634
PPL,0.00052045584054
EXC,0.00108811684814
NUE,0.00111492767154
CTAS,0.00115406492529
FLT,0.0004969552755
PAYC,0.00041902436496999996
TFC,0.00108062041115
CTVA,0.00109988200143
AMDV,0.00493605925538
HBAN,0.00041381156919
ENPH,0.00061199918218
CTRA,0.0005156617063599999
PEP,0.00685613340627
TXN,0.0043837179313
CME,0.0017887391026999999
VMC,0.0008040060765699999
PYPL,0.0020033286578699998
CNTE,0.00099830893656
GOOGL,0.01913547461621
BXP,0.00021676202588
EL,0.00122275202728
PSX,0.00117770215217
MCHP,0.00131919255676
PLD,0.00303782409199
LNC,0.00010671950902
V,0.010340668283909999
HPE,0.00058144956549
SO,0.00205228390642
ZTS,0.00215342531557
NRG,0.00023510552366
EMN,0.00026943193082
BSX,0.00209251489047
ZMH,0.00081971435394
ADM,0.0011135706329000001
RMD,0.00085939556058
ELV,0.00283385246763
LEN,0.0008542265061400001
BKR,0.00084967334246
SJM,0.00042387283533000005
LDOS,0.00032283660504999997
CBRE,0.00068393476086
RJF,0.00053750909472
BIIB,0.00110397138397
FISV,0.00209542277703
EIX,0.0007117143610899999
PG,0.00962098878877
AKAM,0.00038121753565999996
GNRC,0.00024936072756
STT,0.00065817626234
LMT,0.00279197057363
LOWE,0.00362186791638
ODFL,0.0008988612076999999
HAS,0.00022097580176000002
CUM,0.00093092633929
IEX,0.00043341050818999997
RL,0.00013592769247
CDW,0.00066763174826
TYL,0.00046542886947
NSC,0.00138834057017
SEE,0.00015872999405
MSFT,0.06813391289693
PODD,0.00053937309943
SMC,0.00024957310356
ALGN,0.00068772849219
VIAC,0.00021483939172
TRGP,0.00045975400113
TYSNA,0.00039171295277
BDX,0.00201300709116
AMT,0.00242326842652
DLTR,0.0008017773940899999
PKG,0.00033242126081
IQV,0.00112059968951
AXON,0.00036855271237999995
ICE,0.00169855448183
AMAT,0.0032753183462000002
OXY,0.0011469601286099999
ROK,0.00101251000289
MRNA,0.00107692878827
CEG,0.00080315218735
K,0.00046297982495
FRT,0.00018995995323
SYK,0.00276492197063
HII,0.00024212307813
NEM,0.0009101032801599999
ARE,0.00048045544813000003
ZION,0.00010822730676
PNW,0.00024499066512000003
STZ,0.00107161832154
TRMB,0.000352710948
NVDA,0.02815095941553
BBY,0.00043350334541
CVX,0.00737845878602
ADBE,0.0060357650718300005
KEY,0.00023179674028
TTWO,0.00062713076189
WMI,0.00173036394505
ETR,0.00055398696513
GOOG,0.01663473536783
CI,0.00223385409461
DAY,0.00027428225271
MTB,0.00056284461458
SRE,0.00122817590551
ORLY,0.00156453745138
WRB,0.0003248301186
CVS,0.00238579591461
CCI,0.0013240096013600001
DD,0.00087969669727
ILMN,0.00079143049162
DIS,0.00438353023204
PWR,0.00075489073687
TGT,0.00162910091006
IT,0.00074106098365
MMC,0.00250302090501
PFG,0.00046303517273999997
WMT,0.0059241758072100005
KO,0.0062993428588
FTNT,0.0013153272919
RHII,0.00022127708001
AAL,0.00031375094754000003
PSA,0.00123993725424
SWK,0.00038612823376
PCAR,0.00117112502858
XOM,0.01166774480187
GLW,0.0007169550766
NWL,8.776920214e-05
FRRI,0.00020473856033
ETSY,0.00028458955277999996
CMS,0.00045989180807
HST,0.00032338770591
STLD,0.00048485791381000005
DRI,0.00054744265755
ALK,0.00017643889236
MKC,0.00058667098373
ATVI,0.0016138016000800002
ED,0.0008429884806800001
MLM,0.00077042815121
CSGP,0.00097145506173
TJX,0.00263256579866
IPI,0.00031013409066
MNST,0.0011741140753
LW,0.00044170435472
BRK,0.01636312103086
HSY,0.00098651913558
TDG,0.00124658259398
NFLX,0.00527202581088
CDNS,0.00172882402883
KIM,0.00032346673822
JNPR,0.00026982153992
ISRG,0.00322027821002
XYL,0.00072096959936
ECON,0.00124346334204
MA,0.00885536826314
RSG,0.00084149690267
T,0.00305588678047
SOAL,0.0005770254594799999
AVGO,0.00974234980864
AMGN,0.00318642600539
BAC,0.0053523740199799994
DXC,0.00016416326272000002
SEDG,0.00040433015088
ESS,0.00040301151022
HRL,0.00031133994722
TSLA,0.01897654094152
USB,0.00123722244096
CPB,0.00024739770398
HOMD,0.008464642550830001
LNT,0.00035413305617999996
INTC,0.00375312191094
CPT,0.00032210060502000005
EVRG,0.00036042063497000005
CNAG,0.00042906238626
IRM,0.00044399149591
PCG,0.00074665548631
BWA,0.00031175424152999996
J,0.00040988721484
OGN,0.00014055067592
NWS,6.445913552e-05
ANET,0.00107816465209
ABT,0.0051086016347
FDX,0.0015469393746599999
SYF,0.00039823789083
F,0.00159751429101
MTCH,0.00031440142239
SBAC,0.00067260563466
DPZ,0.00032307788719
PH,0.00134472616328
GEHC,0.0008539859609399999
CSX,0.0018654899322099999
KMI,0.0009129091421799999
WYNN,0.00029633683168
CINF,0.00041410140577
GS,0.00288521673905
ROL,0.00026602248507
FCX,0.00153672002513
NOW,0.00308113165074
CNP,0.00049322900113
SYY,0.00101081809656
AVB,0.00071092289509
FDS,0.00041208000391
FIS,0.00087095467999
SHW,0.00168253245804
DXCM,0.00133207044256
IP,0.00030735272719
NI,0.0002959766068
FE,0.00056455115666
GE,0.00321081595108
APA,0.00029801239342000003
DE,0.00294473825696
ANLG,0.00265376877019
SCHW,0.00226648153258
MET,0.00097853852499
ITW,0.00186593920615
MGMG,0.00035684647647000003
AFL,0.00103271713789
ES,0.0006638840868900001
FFIV,0.00023273976435999997
DUK,0.00185461759265
META,0.01708239601225
PFE,0.0055718808610299994
VRSN,0.00055601498546
ROST,0.00103744247462
TECH,0.00034509327441
AEE,0.00056682529329
FSLR,0.0005057058839
VZ,0.0041981019457300005
MOH,0.00046864187446
ORCL,0.00493137968767
KMX,0.00036094663769
BBWI,0.00022873694286
RTX,0.0038568287575
EW,0.00153878047375
GL,0.00026521005476
AVY,0.00037702614359
BRO,0.00043488711382
BA,0.00321306202344
ADSK,0.00118738172349
FOX,0.00011914735737
NLOK,0.00028563838175
ALL,0.00077575579622
DOV,0.00055577855065
CDIC,0.0006545206251799999
COR,0.0008364261114800001
AAP,0.00011372967761
CARR,0.0011187086543
ROPR,0.00136872743105
DVN,0.00084611429611
SWKS,0.00047440491338
MO,0.00217358093036
VICI,0.00084786814195
LKQX,0.0003968227469
PANW,0.00208037380815
SBUX,0.00305983946372
EMR,0.0013880624484599998
JBHT,0.00040308261837000004
CFG,0.00034297595549999995
SPG,0.00101478401021
YUM,0.001046906078
LYV,0.00034626275265
PHM,0.00047075230851
IFF,0.00054451793479
LH,0.0005739107067799999
BK,0.00087507539205
PTC,0.00040709035825
MWD,0.00299854253099
CCL,0.0005071978161799999
ULTA,0.0006461012719599999
WRK,0.00019758547004
PXD,0.00130296808888
IR,0.0007112772155999999
CTR,0.0034119461235100003
CF,0.00036540438693999995
MPWR,0.00065010041179
QCOM,0.00356654345489
TXT,0.00038209013738000003
LRCX,0.00233086129412
AZO,0.00123468166322
ONNN,0.00109562129053
AMP,0.0009393436287
HCA,0.00168478639954
BIO,0.00021610144538999998
OTIS,0.00099874517328
KLAC,0.00180464416115
CPRT,0.00104891044226
AESC,0.00037216816174
NOC,0.00176187921578
HIG,0.00061425416087
FANG,0.00064852543555
NVR,0.00051576208908
ERTS,0.0009078937071400001
MCK,0.00157256759803
RF,0.00044859914950000005
VRSK,0.0008805521821400001
HUM,0.00150191529261
TPR,0.00027635834905
KEYS,0.0008056321961300001
KR,0.00082183341772
UAL,0.00048135871237
FTV,0.0007096302327999999
CRCH,0.0006569858479399999
SNPS,0.0017837580596399998
AAPL,0.0771686134577
DHR,0.00428878137372
ANSS,0.00077327351466
REGN,0.00207597235011
CBOE,0.00038991024089
TFX,0.0003051435067
HWM,0.00048944397775
