entry_z,exit_z,ticker,n_trades,total_pnl_net,sharpe_net,max_drawdown,total_txn_cost
1.0,-0.25,XBI,8,-3347.352320855831,-0.2447896758662851,-9574.07498602157,2230.0864489534392
1.0,-0.25,XLK,13,1276.011294891146,0.09050196910073718,-9424.584288063117,2651.3033896180095
1.0,0.0,SPY,17,3623.2461525492313,0.43438553748670194,-4646.998874763607,415.5579695882641
1.0,0.0,XBI,9,-4729.161810088882,-0.37640144715004037,-10338.939699172151,2664.279076038808
1.0,0.0,XLK,16,609.6706093816414,0.04584919158111861,-7981.4568224145105,3280.23983356321
1.0,0.25,SPY,20,1066.0811248739933,0.14089207145790975,-5141.947472516893,457.81282082139626
1.0,0.25,XBI,11,-4781.999837340711,-0.39016498622145834,-10256.911012298238,3387.7115465079683
1.0,0.25,XLK,23,-1908.841640568133,-0.16169091938625793,-9078.742101350312,4689.667674764481
1.25,-0.5,SPY,10,2980.726598234042,0.32411276743335765,-4646.998874763606,328.22006977825436
1.25,-0.5,XBI,6,-5565.045146561044,-0.44745359743624946,-9415.38086266562,1814.8719809368267
1.25,-0.5,XLK,10,-4711.825673844018,-0.33646844653479535,-12145.761251244185,2154.5298687552777
1.25,-0.25,SPY,11,3907.785175983972,0.487318522972572,-4646.998874763608,322.8827614672683
1.25,-0.25,XBI,6,-6045.9435955485405,-0.5012412044356557,-9896.279311653116,1819.6178305768021
1.25,-0.25,XLK,11,-1219.99794155921,-0.09435466105624656,-11115.959020634318,2322.2388684583357
1.25,0.0,SPY,11,2569.4617256959723,0.33626321537853965,-4646.998874763606,310.43955388308126
1.25,0.0,XBI,7,-6441.5400307646005,-0.5916748012189481,-9674.930970786707,2234.4595902569226
1.25,0.0,XLK,13,-2083.110979141159,-0.17204661759842418,-10197.642536525267,2730.933325603029
1.25,0.25,SPY,14,628.6001594985731,0.09471236739384366,-4896.190942985074,355.3593372300306
1.25,0.25,XBI,8,-6461.941135412091,-0.6065472409620195,-9592.902283912794,2539.086727781521
1.25,0.25,XLK,19,-409.83782119238094,-0.03932034761532868,-7422.510575997029,4094.952550507042
1.5,-0.5,SPY,9,3212.974041070503,0.3705803681181716,-5167.894338456863,274.82862176712666
1.5,-0.5,XBI,5,-2622.4775484581346,-0.21800116002306621,-7339.950288416047,1608.3631245281745
1.5,-0.5,XLK,10,-4082.7684622101224,-0.3031596611972061,-11982.332547516933,2212.2779118467215
1.5,-0.25,SPY,9,3345.5648623204456,0.47057170388991615,-4915.9204862127535,248.3683290735745
1.5,-0.25,XBI,5,-3103.3759974456316,-0.26638364502743167,-7771.4245384021615,1613.1089741681499
1.5,-0.25,XLK,11,-590.9407299253155,-0.04767706456261136,-10952.530316907068,2379.986911549778
1.5,0.0,SPY,9,2095.892162139157,0.30723583090398376,-4915.9204862127535,241.1721808396955
1.5,0.0,XBI,6,-3067.223846090064,-0.29232208606016363,-7550.076197535756,1896.7280676372693
1.5,0.0,XLK,12,-1308.1600354425657,-0.11303185398625724,-9656.76792445251,2653.245699796477
1.5,0.25,SPY,10,1485.48816568332,0.26261890801003746,-4915.9204862127535,240.91535255914724
1.5,0.25,XBI,7,-3087.6249507375524,-0.30107727076061946,-7468.047510661841,2201.3552051618676
1.5,0.25,XLK,17,-537.72332635782,-0.05714867702938511,-7382.909808724607,3852.1384525692742
