date,sigma_basket,n_constituents,missing_constituents
2022-07-28,0.31651453047875727,22,3
2022-07-29,0.29643771140300246,22,3
2022-08-01,0.3109125780354006,22,3
2022-08-02,0.31215385555077846,22,3
2022-08-03,0.30112817955595894,22,3
2022-08-04,0.2942804400858691,22,3
2022-08-05,0.2884842363579116,22,3
2022-08-08,0.292578313100499,22,3
2022-08-09,0.3058512596031898,22,3
2022-08-10,0.28800701004781204,22,3
2022-08-11,0.29291313928285756,22,3
2022-08-12,0.2844198475468987,22,3
2022-08-15,0.2820889392881979,22,3
2022-08-16,0.2855708213380079,22,3
2022-08-17,0.29247808857985674,22,3
2022-08-18,0.2867945723723113,22,3
2022-08-19,0.29032940594081835,22,3
2022-08-22,0.31939724074980547,22,3
2022-08-23,0.31700725985421097,22,3
2022-08-24,0.3086402766200148,22,3
2022-08-25,0.2991690346045784,23,2
2022-08-26,0.32291197751086465,23,2
2022-08-29,0.3253531992042933,23,2
2022-08-30,0.32701459117083587,23,2
2022-08-31,0.3280601434890701,23,2
2022-09-01,0.3279681498268101,23,2
2022-09-02,0.3283308518350665,23,2
2022-09-06,0.33418969548721994,23,2
2022-09-07,0.31685637940503925,23,2
2022-09-08,0.3081185921149111,23,2
2022-09-09,0.3007149894791449,23,2
2022-09-12,0.30480179303566957,23,2
2022-09-13,0.32650021477528884,23,2
2022-09-14,0.3216789963281242,23,2
2022-09-15,0.3231730296401362,23,2
2022-09-16,0.3223480699066442,23,2
2022-09-19,0.32067158267083656,23,2
2022-09-20,0.3241389158707481,23,2
2022-09-21,0.3273210721748694,23,2
2022-09-22,0.3308018181531789,23,2
2022-09-23,0.3364468304688977,23,2
2022-09-26,0.34464711986111574,23,2
2022-09-27,0.34907682583560273,23,2
2022-09-28,0.34403888032124913,23,2
2022-09-29,0.35304256353346236,23,2
2022-09-30,0.35053393125376975,23,2
2022-10-03,0.34218380904975637,23,2
2022-10-04,0.3370779750659202,23,2
2022-10-05,0.34303876158867036,23,2
2022-10-06,0.34554820726241703,23,2
2022-10-07,0.36391837830742835,23,2
2022-10-10,0.3673295285601123,23,2
2022-10-11,0.3712403962620312,23,2
2022-10-12,0.3663546027209347,23,2
2022-10-13,0.357230145646593,23,2
2022-10-14,0.36112935231509014,23,2
2022-10-17,0.3574950796612335,23,2
2022-10-18,0.35817360062805287,23,2
2022-10-19,0.354630215146657,23,2
2022-10-20,0.3450983264459478,23,2
2022-10-21,0.34727040734123454,23,2
2022-10-24,0.35155083686456023,23,2
2022-10-25,0.35021362220497587,23,2
2022-10-26,0.3480051396316471,23,2
2022-10-27,0.33806274168521083,23,2
2022-10-28,0.3171558404415886,23,2
2022-10-31,0.3215851288405721,23,2
2022-11-01,0.3204135336122102,23,2
2022-11-02,0.3270983774623781,23,2
2022-11-03,0.31840939781066613,23,2
2022-11-04,0.30873872387197093,23,2
2022-11-07,0.30749154010048435,23,2
2022-11-08,0.3084550918564562,23,2
2022-11-09,0.3177528720477703,23,2
2022-11-10,0.3149213751486537,23,2
2022-11-11,0.3142784230697703,23,2
2022-11-14,0.31849252725042715,23,2
2022-11-15,0.3168708941878066,23,2
2022-11-16,0.32097933662713735,23,2
2022-11-17,0.3128625190620722,23,2
2022-11-18,0.30622434606731497,23,2
2022-11-21,0.2994630126985962,23,2
2022-11-22,0.29080976009390636,23,2
2022-11-23,0.2853086953409272,23,2
2022-11-25,0.2852415779092402,23,2
2022-11-28,0.29846059086929166,23,2
2022-11-29,0.2988993747965566,23,2
2022-11-30,0.28781726180395184,23,2
2022-12-01,0.2843868436441675,23,2
2022-12-02,0.27986561033021284,23,2
2022-12-05,0.2911328977236766,23,2
2022-12-06,0.29824185140260745,23,2
2022-12-07,0.29942498665999007,23,2
2022-12-08,0.29588297905142946,23,2
2022-12-09,0.2991047002432222,23,2
2022-12-12,0.3038589020798272,23,2
2022-12-13,0.2876188647488278,23,2
2022-12-14,0.28344991801900377,23,2
2022-12-15,0.2963723215222721,23,2
2022-12-16,0.2887515976708804,23,2
2022-12-19,0.2891812789684823,23,2
2022-12-20,0.2855516599531971,23,2
2022-12-21,0.27773738379650437,23,2
2022-12-22,0.3023559422279815,23,2
2022-12-23,0.2946345561894758,23,2
2022-12-27,0.30202479700230495,23,2
2022-12-28,0.3046714279434223,23,2
2022-12-29,0.3027465748746903,23,2
2022-12-30,0.3051389982374952,23,2
2023-01-03,0.30656134899298637,23,2
2023-01-04,0.29994208947065903,23,2
2023-01-05,0.30056571179022584,23,2
2023-01-06,0.29295198501367836,23,2
2023-01-09,0.2954191505528347,23,2
2023-01-10,0.29372758847330066,23,2
2023-01-11,0.29046517602734656,23,2
2023-01-12,0.27681062797960726,23,2
2023-01-13,0.2688168177310852,23,2
2023-01-17,0.2776552726278236,23,2
2023-01-18,0.27689780550502713,23,2
2023-01-19,0.27958045149175514,23,2
2023-01-20,0.27526321608118004,23,2
2023-01-23,0.2763029625123853,23,2
2023-01-24,0.2767688657111424,23,2
2023-01-25,0.28767456861774643,23,2
2023-01-26,0.2786632012840672,23,2
2023-01-27,0.27122925472706494,23,2
2023-01-30,0.2896978924165356,23,2
2023-01-31,0.2835757512939051,23,2
2023-02-01,0.28040923909687987,23,2
2023-02-02,0.2853579183348951,23,2
2023-02-03,0.2805037466365116,23,2
2023-02-06,0.28748325559133253,23,2
2023-02-07,0.2819473940025635,23,2
2023-02-08,0.27932049920214225,23,2
2023-02-09,0.2878288975653951,23,2
2023-02-10,0.2879432212124483,23,2
2023-02-13,0.28567173604993246,23,2
2023-02-14,0.2761728587345552,23,2
2023-02-15,0.2716788366915219,23,2
2023-02-16,0.2742210212413069,23,2
2023-02-17,0.2708563631374438,23,2
2023-02-21,0.28451104635944996,23,2
2023-02-22,0.2842107026003072,23,2
2023-02-23,0.27452131563507365,23,2
2023-02-24,0.27497110936900765,23,2
2023-02-27,0.27376725193723084,23,2
2023-02-28,0.2638778890016292,23,2
2023-03-01,0.26499027506025263,23,2
2023-03-02,0.25388751222533834,23,2
2023-03-03,0.2434636787674332,23,2
2023-03-06,0.2427795853847767,23,2
2023-03-07,0.2476033610691493,23,2
2023-03-08,0.24604315044525088,23,2
2023-03-09,0.2609692904579604,23,2
2023-03-10,0.27474019342843664,23,2
2023-03-13,0.28430289895679267,23,2
2023-03-14,0.2669462519469716,23,2
2023-03-15,0.2722209358793128,23,2
2023-03-16,0.2590314146342891,23,2
2023-03-17,0.27177539885684254,23,2
2023-03-20,0.2642659828300253,23,2
2023-03-21,0.2546565827878078,23,2
2023-03-22,0.2554669623210004,23,2
2023-03-23,0.2728395288304609,23,2
2023-03-24,0.2697675633025,23,2
2023-03-27,0.2634846841863775,23,2
2023-03-28,0.25810751077638266,23,2
2023-03-29,0.24656387852892253,23,2
2023-03-30,0.2539406303959024,23,2
2023-03-31,0.2506662524256476,23,2
2023-04-03,0.25051960576960686,23,2
2023-04-04,0.2501513096867884,23,2
2023-04-05,0.25271607130410184,23,2
2023-04-06,0.24672991434672503,23,2
2023-04-10,0.2552483055075203,23,2
2023-04-11,0.2519227621048795,23,2
2023-04-12,0.25443523477142604,23,2
2023-04-13,0.24499312516048743,23,2
2023-04-14,0.24181339317486625,23,2
2023-04-17,0.23834398733797277,23,2
2023-04-18,0.2320630580427765,23,2
2023-04-19,0.22191110544789577,23,2
2023-04-20,0.22295089201973264,23,2
2023-04-21,0.21918455950224272,23,2
2023-04-24,0.22353286343617426,23,2
2023-04-25,0.24189041250652002,23,2
2023-04-26,0.23582668798639947,23,2
2023-04-27,0.22714043180709062,23,2
2023-04-28,0.21098037658925028,23,2
2023-05-01,0.21282444219495136,23,2
2023-05-02,0.21621311804364443,23,2
2023-05-03,0.2182311480225965,23,2
2023-05-04,0.21060490076537983,23,2
2023-05-05,0.19393017229192744,23,2
2023-05-08,0.19876272109088167,23,2
2023-05-09,0.1978257715632028,23,2
2023-05-10,0.19238940846149646,23,2
2023-05-11,0.19376536346739512,23,2
2023-05-12,0.19361763911160393,23,2
2023-05-15,0.19168223607698406,23,2
2023-05-16,0.19495081157167457,23,2
2023-05-17,0.17873903857528473,23,2
2023-05-18,0.18144170528035253,23,2
2023-05-19,0.18292117974453623,23,2
2023-05-22,0.18235233105058063,23,2
2023-05-23,0.19412637207632133,23,2
2023-05-24,0.199318993120493,23,2
2023-05-25,0.18767894368632235,23,2
2023-05-26,0.19851741524990044,23,2
2023-05-30,0.20429354169401537,23,2
2023-05-31,0.20145888236519902,23,2
2023-06-01,0.18554023858225832,23,2
2023-06-02,0.17118369655284787,23,2
2023-06-05,0.1642967710308373,23,2
2023-06-06,0.15658746438521495,23,2
2023-06-07,0.1635535039213676,23,2
2023-06-08,0.15855794887075303,23,2
2023-06-09,0.16078610888914327,23,2
2023-06-12,0.16649909040140587,23,2
2023-06-13,0.15894011403663166,23,2
2023-06-14,0.16184073992961198,23,2
2023-06-15,0.1666330188361271,23,2
2023-06-16,0.15576134692058366,23,2
2023-06-20,0.15462768572065888,23,2
2023-06-21,0.15704877931185976,23,2
2023-06-22,0.16057975653842624,23,2
2023-06-23,0.1591608930569575,23,2
2023-06-26,0.15969857523722333,23,2
2023-06-27,0.1616826568107955,23,2
2023-06-28,0.15918326990046297,23,2
2023-06-29,0.1577245897764015,23,2
2023-06-30,0.1559008103495018,23,2
2023-07-03,0.15407504745208436,23,2
2023-07-05,0.15970299764825518,23,2
2023-07-06,0.1668230706133418,23,2
2023-07-07,0.16305165598099672,23,2
2023-07-10,0.16179907312696812,23,2
2023-07-11,0.15906108921379508,23,2
2023-07-12,0.15891368457047395,23,2
2023-07-13,0.16142307505932105,23,2
2023-07-14,0.16292050341408307,23,2
2023-07-17,0.16679315842333153,23,2
2023-07-18,0.17537262084795097,23,2
2023-07-19,0.17461251251234655,23,2
2023-07-20,0.17749429286709537,23,2
2023-07-21,0.1639365032732036,23,2
2023-07-24,0.16875875033263213,23,2
2023-07-25,0.16902556540581326,23,2
2023-07-26,0.1648824612464462,23,2
2023-07-27,0.16193020716747758,23,2
2023-07-28,0.1597581224607362,23,2
2023-07-31,0.16331899046497092,23,2
2023-08-01,0.17012342983613346,23,2
2023-08-02,0.18483472353119618,23,2
2023-08-03,0.1837992966356228,23,2
2023-08-04,0.17255600593196976,23,2
2023-08-07,0.1715999397669221,23,2
2023-08-08,0.17788583431051538,23,2
2023-08-09,0.18218645979136147,23,2
2023-08-10,0.1814849836055025,23,2
2023-08-11,0.18074104496219268,23,2
2023-08-14,0.1800172780292473,23,2
2023-08-15,0.1843535348258117,23,2
2023-08-16,0.18823880479511107,23,2
2023-08-17,0.1895012906877511,23,2
2023-08-18,0.18471009292242221,23,2
2023-08-21,0.18623224403885633,23,2
2023-08-22,0.20255349561994798,23,2
2023-08-23,0.19631240664088362,23,2
2023-08-24,0.20997824683646282,23,2
2023-08-25,0.20054799169702708,23,2
2023-08-28,0.19952308936001983,23,2
2023-08-29,0.1957449971513162,23,2
2023-08-30,0.1966226727627494,23,2
2023-08-31,0.19187089455322187,23,2
2023-09-01,0.1797955508345816,23,2
2023-09-05,0.18476949278543678,23,2
2023-09-06,0.1889491388364134,23,2
2023-09-07,0.19124485574492917,23,2
2023-09-08,0.18577576924937692,23,2
2023-09-11,0.1841728542577289,23,2
2023-09-12,0.18201219860248266,23,2
2023-09-13,0.17868273480841435,23,2
2023-09-14,0.17938546102416017,23,2
2023-09-15,0.18230076631792463,23,2
2023-09-18,0.18437482258531573,23,2
2023-09-19,0.18278163416854384,23,2
2023-09-20,0.19216198908334564,23,2
2023-09-21,0.20999304376531336,23,2
2023-09-22,0.20962299159183215,23,2
2023-09-25,0.2164814126181722,23,2
2023-09-26,0.2265957518956133,23,2
2023-09-27,0.22332909643796256,23,2
2023-09-28,0.22254488082987733,23,2
2023-09-29,0.21695811867566286,23,2
2023-10-02,0.22254896044923808,23,2
2023-10-03,0.23948016942508435,23,2
2023-10-04,0.23955739592321762,23,2
2023-10-05,0.23262855770654187,23,2
2023-10-06,0.224317944116835,23,2
2023-10-09,0.22889366510219816,23,2
2023-10-10,0.22262332247489444,23,2
2023-10-11,0.22302605993841365,23,2
2023-10-12,0.22505371878471594,23,2
2023-10-13,0.2333151704180019,23,2
2023-10-16,0.23090786360723262,23,2
2023-10-17,0.2301784001125778,23,2
2023-10-18,0.24296472278500006,23,2
2023-10-19,0.23165143287364215,23,2
2023-10-20,0.2417746236057988,23,2
2023-10-23,0.23810503760595914,23,2
2023-10-24,0.2370093626607809,23,2
2023-10-25,0.2493562512047565,23,2
2023-10-26,0.24494390741920563,23,2
2023-10-27,0.23925200076405026,23,2
2023-10-30,0.23619527395352088,23,2
2023-10-31,0.23423831344862245,23,2
2023-11-01,0.22759326578889613,23,2
2023-11-02,0.21163633062305476,23,2
2023-11-03,0.20562850393062732,23,2
2023-11-06,0.20463611952124156,23,2
2023-11-07,0.19662409065386244,23,2
2023-11-08,0.1940113264009765,23,2
2023-11-09,0.20226480943309086,23,2
2023-11-10,0.20256540138146353,23,2
2023-11-13,0.20208549892787878,23,2
2023-11-14,0.2015153941947887,23,2
2023-11-15,0.2014488499936336,23,2
2023-11-16,0.19474898454759185,23,2
2023-11-17,0.18693211631293327,23,2
2023-11-20,0.1829221979844326,23,2
2023-11-21,0.18427145898313013,23,2
2023-11-22,0.17004067548904028,23,2
2023-11-24,0.16646023051953232,23,2
2023-11-27,0.16745230914049267,23,2
2023-11-28,0.1672625399555001,23,2
2023-11-29,0.16710205643661774,23,2
2023-11-30,0.16319775526014868,23,2
2023-12-01,0.16353848049951852,23,2
2023-12-04,0.16999464273703185,23,2
2023-12-05,0.17060454875487574,23,2
2023-12-06,0.17253196519406566,23,2
2023-12-07,0.17311655479622315,23,2
2023-12-08,0.16816820631158935,23,2
2023-12-11,0.1710629949285062,23,2
2023-12-12,0.1619487323364943,23,2
2023-12-13,0.16092108130371077,23,2
2023-12-14,0.15889759243906623,23,2
2023-12-15,0.15264624491724937,23,2
2023-12-18,0.15099851549052556,23,2
2023-12-19,0.15182068121363568,23,2
2023-12-20,0.15713125325302224,23,2
2023-12-21,0.16722427563534428,23,2
2023-12-22,0.1652883432875128,23,2
2023-12-26,0.16927574579032445,23,2
2023-12-27,0.1684450235373424,23,2
2023-12-28,0.16695389715492875,23,2
2023-12-29,0.16521446095550366,23,2
2024-01-02,0.18053998225639373,23,2
2024-01-03,0.18204648481893504,23,2
2024-01-04,0.18559750266403083,23,2
2024-01-05,0.18123601562545127,23,2
2024-01-08,0.1876033085080793,23,2
2024-01-09,0.1849598899814022,23,2
2024-01-10,0.18020422897052135,23,2
2024-01-11,0.17835414896658125,23,2
2024-01-12,0.17951526214478292,23,2
2024-01-16,0.18039402531017035,23,2
2024-01-17,0.19625342012135508,23,2
2024-01-18,0.18659356292153131,23,2
2024-01-19,0.19288645293386097,23,2
2024-01-22,0.1973330118522375,23,2
2024-01-23,0.1866109203907544,23,2
2024-01-24,0.17795846972954946,23,2
2024-01-25,0.1770702140434652,23,2
2024-01-26,0.17290443386800936,23,2
2024-01-29,0.17683840235286652,23,2
2024-01-30,0.17993085140098763,23,2
2024-01-31,0.18567143930231195,23,2
2024-02-01,0.17757641660461215,23,2
2024-02-02,0.1684608002282159,23,2
2024-02-05,0.17286821446518202,23,2
2024-02-06,0.17158293127474394,23,2
2024-02-07,0.168099948593856,23,2
2024-02-08,0.16661383686355227,23,2
2024-02-09,0.16938124636412724,23,2
2024-02-12,0.1717075338831838,23,2
2024-02-13,0.18317950986589218,23,2
2024-02-14,0.1840601943189662,23,2
2024-02-15,0.18271133044239732,23,2
2024-02-16,0.180530723763283,23,2
2024-02-20,0.18359289858081224,23,2
2024-02-21,0.18411044785102063,23,2
2024-02-22,0.17999547332958596,23,2
2024-02-23,0.17471587172641798,23,2
2024-02-26,0.17787999149826697,23,2
2024-02-27,0.1772702188641823,23,2
2024-02-28,0.17727452483014822,23,2
2024-02-29,0.17548338676616412,23,2
2024-03-01,0.17862089908179565,23,2
2024-03-04,0.18492482927605874,23,2
2024-03-05,0.1972240156169886,23,2
2024-03-06,0.1987947024481258,23,2
2024-03-07,0.2053842292292841,23,2
2024-03-08,0.20438495279945854,23,2
2024-03-11,0.20439087498902062,23,2
2024-03-12,0.19813124067887386,23,2
2024-03-13,0.2008985485486171,23,2
2024-03-14,0.2001484403042578,23,2
2024-03-15,0.1994755709841162,23,2
2024-03-18,0.19698914440667406,23,2
2024-03-19,0.1902818912592291,23,2
2024-03-20,0.1858574483339614,23,2
2024-03-21,0.19381855731407047,23,2
2024-03-22,0.19586087892690052,23,2
2024-03-25,0.19704707047388398,23,2
2024-03-26,0.1961144830246028,23,2
2024-03-27,0.1915097605612173,23,2
2024-03-28,0.1865266980865933,23,2
2024-04-01,0.19003748553146932,23,2
2024-04-02,0.19361999214838144,23,2
2024-04-03,0.19325982315996595,23,2
2024-04-04,0.19641986184674615,23,2
2024-04-05,0.19444489292380837,23,2
2024-04-08,0.1939875831839025,23,2
2024-04-09,0.19299826880494955,23,2
2024-04-10,0.19623886291716786,23,2
2024-04-11,0.19615199797577718,23,2
2024-04-12,0.20675636062420658,23,2
2024-04-15,0.21684035349553854,23,2
2024-04-16,0.21205420229280025,23,2
2024-04-17,0.21674253884858785,23,2
2024-04-18,0.2128941177064204,23,2
2024-04-19,0.21249502904557097,23,2
2024-04-22,0.20493712643714132,23,2
2024-04-23,0.2084293865885133,23,2
2024-04-24,0.2086505662113768,23,2
2024-04-25,0.20347386421561636,23,2
2024-04-26,0.19273740959669847,23,2
2024-04-29,0.1943102229275564,23,2
2024-04-30,0.2065450210268451,23,2
2024-05-01,0.20020757233887082,23,2
2024-05-02,0.1962546519571316,23,2
2024-05-03,0.18676332718726946,23,2
2024-05-06,0.19006589929002504,23,2
2024-05-07,0.18644288855120572,23,2
2024-05-08,0.18110652210228087,23,2
2024-05-09,0.18063865795348524,23,2
2024-05-10,0.17416076799053778,23,2
2024-05-13,0.17910228417190352,23,2
2024-05-14,0.18032665571622025,23,2
2024-05-15,0.1778879410848536,23,2
2024-05-16,0.18002381919808935,23,2
2024-05-17,0.16798700393504504,23,2
2024-05-20,0.17233170638058276,23,2
2024-05-21,0.17303436406550785,23,2
2024-05-22,0.17428261113018986,23,2
2024-05-23,0.16652011563414776,23,2
2024-05-24,0.1622950402073788,23,2
2024-05-28,0.16629566798230425,23,2
2024-05-29,0.16819957782396092,23,2
2024-05-30,0.164129951264132,23,2
2024-05-31,0.1594122585247586,23,2
2024-06-03,0.15886849439419037,23,2
2024-06-04,0.15722637881554183,23,2
2024-06-05,0.1610509608890187,23,2
2024-06-06,0.16129869280803757,23,2
2024-06-07,0.16030831054325073,23,2
2024-06-10,0.16043210667222518,23,2
2024-06-11,0.15667011612777973,23,2
2024-06-12,0.15414267805302564,23,2
2024-06-13,0.16050548941958978,23,2
2024-06-14,0.15477810758166172,23,2
2024-06-17,0.16499634583027872,23,2
2024-06-18,0.16452034264297008,23,2
2024-06-20,0.16960545310349698,23,2
2024-06-21,0.1621849664660851,23,2
2024-06-24,0.16959915732564912,23,2
2024-06-25,0.16860705100428008,23,2
2024-06-26,0.17189668761159171,23,2
2024-06-27,0.17106391065428034,23,2
2024-06-28,0.17578966497840626,23,2
2024-07-01,0.17143922387591004,23,2
2024-07-02,0.16856036292601975,23,2
2024-07-03,0.1690659467584022,23,2
2024-07-05,0.17184725805489376,23,2
2024-07-08,0.17580453838249963,23,2
2024-07-09,0.1747036890040555,23,2
2024-07-10,0.1683406667175991,23,2
2024-07-11,0.1702042225761682,23,2
2024-07-12,0.16761128314875418,23,2
2024-07-15,0.16733664595765907,23,2
2024-07-16,0.16473362836971342,23,2
2024-07-17,0.1797323997361281,23,2
2024-07-18,0.1744466648651359,23,2
2024-07-19,0.1751460630861146,23,2
2024-07-22,0.16878215109438183,23,2
2024-07-23,0.16796957872834142,23,2
2024-07-24,0.1961142849742401,23,2
2024-07-25,0.1982887191153504,23,2
2024-07-26,0.18730125767348907,23,2
2024-07-29,0.1940486245898141,23,2
2024-07-30,0.19828391926929007,23,2
2024-07-31,0.19666376531499472,23,2
2024-08-01,0.21227351393738753,23,2
2024-08-02,0.2260354692493419,23,2
2024-08-05,0.24567749602162936,23,2
2024-08-06,0.2342398324725781,23,2
2024-08-07,0.22709132601792797,23,2
2024-08-08,0.22815362083073393,23,2
2024-08-09,0.22025672317689685,23,2
2024-08-12,0.21898533729914538,23,2
2024-08-13,0.21511905817229943,23,2
2024-08-14,0.21282830220071375,23,2
2024-08-15,0.2049219678384033,23,2
2024-08-16,0.20046752805610885,23,2
2024-08-19,0.20047850374224233,23,2
2024-08-20,0.2089539151147667,23,2
2024-08-21,0.20743546255975345,23,2
2024-08-22,0.21886494611476737,23,2
2024-08-23,0.20859116975494205,23,2
2024-08-26,0.21660994372368714,23,2
2024-08-27,0.21875501550773235,23,2
